"","date","open","high","low","close","volume","adjclose","highesthigh","lowestlow","month","quarter","year","weekday","close.1","higherclose","lowerclose","gapup","gapdown","high.1","higherhigh","low.1","lowerlow","lowerhigh","higherlow","open.1","higheropen","loweropen","bagapup","bagapdown","truerange","atr","vma","atr20","sepoc","sepol","sepoh","sepcl","sepch","sepocabs","highsep","net","net2","netreturn","netreturn2","netreturn3","netreturn4","netreturn5","atr3","volratio","highesthigh2","lowestlow2","sepoc2","open.2","highesthigh3","lowestlow3","sepoc3","open.3","highesthigh4","lowestlow4","sepoc4","netup","range","rangeratio","highrange","bigup","netdown","bigdown","month.1","quarter.1","year.1","weekday.1","higherclose.1","lowerclose.1","higherhigh.1","lowerlow.1","lowerhigh.1","higherlow.1","truerange.1","atr.1","vma.1","atr20.1","sepoc.1","sepol.1","sepoh.1","sepcl.1","sepch.1","highsep.1","net.1","net2.1","netreturn.1","netreturn2.1","netreturn3.1","netreturn4.1","netreturn5.1","volratio.1","sepoc2.1","sepoc3.1","sepoc4.1","bigup.1","bigdown.1"
"19","12-11-27",660.17,675,658,670.71,2508700,670.71,695.55,636,"Nov","4Q","2012","Tue",661.15,TRUE,FALSE,FALSE,TRUE,667,TRUE,659.02,TRUE,FALSE,FALSE,666.44,FALSE,TRUE,FALSE,FALSE,17,12.3261111111111,2064952.63157895,NA,62.0000000000005,12.7647058823527,87.2352941176473,74.7647058823532,25.2352941176468,62.0000000000005,FALSE,9.56000000000006,2.74000000000001,1.445965363382,0.410198062787259,0.726868607986542,0.110452706837627,0.37413388006764,9.62666666666667,NA,675,658,25.1176470588234,669.97,675,658,4.35294117647064,668.99,675,658,10.1176470588237,TRUE,17,NA,NA,FALSE,FALSE,FALSE,11,4,1,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,7.98000000000002,12.0511764705882,2040300,NA,-66.2907268170434,92.9824561403516,7.01754385964843,26.6917293233082,73.3082706766918,FALSE,-6.82000000000005,-4.72000000000003,-1.02100393730258,-0.70884707225134,-1.31647685717272,-1.05655407731103,2.15859575388611,NA,-80.3278688524593,-71.4025500910748,-44.0463645943098,FALSE,FALSE
"20","12-11-28",668.01,684.91,663.89,683.67,3042000,683.67,695.55,636,"Nov","4Q","2012","Wed",670.71,TRUE,FALSE,FALSE,TRUE,675,TRUE,658,FALSE,FALSE,TRUE,660.17,TRUE,FALSE,FALSE,FALSE,21.02,12.7836842105263,2113805,12.7836842105263,74.5004757373929,19.6003805899144,80.3996194100856,94.1008563273073,5.89914367269272,74.5004757373929,TRUE,12.9599999999999,22.52,1.93228071744866,3.40618619072828,2.3504049583065,2.67319446738852,2.0448676806424,15.3333333333333,1.19944556520785,684.91,658,87.3281308063918,666.44,684.91,658,64.0282422891116,669.97,684.91,658,50.9104422147898,TRUE,21.02,1.64428342047841,TRUE,TRUE,FALSE,FALSE,11,4,1,3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,17,12.3261111111111,2064952.63157895,NA,62.0000000000005,12.7647058823527,87.2352941176473,74.7647058823532,25.2352941176468,FALSE,9.56000000000006,2.74000000000001,1.445965363382,0.410198062787259,0.726868607986542,0.110452706837627,0.37413388006764,NA,25.1176470588234,4.35294117647064,10.1176470588237,FALSE,FALSE
"21","12-11-29",687.78,693.9,682,691.89,2776500,691.89,695.55,636,"Nov","4Q","2012","Thu",683.67,TRUE,FALSE,TRUE,FALSE,684.91,TRUE,663.89,FALSE,FALSE,TRUE,668.01,TRUE,FALSE,TRUE,FALSE,11.9,12.7395,2145361.9047619,12.7395,34.5378151260506,48.5714285714284,51.4285714285716,83.109243697479,16.890756302521,34.5378151260506,FALSE,8.22000000000003,21.1799999999999,1.20233445960771,3.15784765397862,4.6494744006655,3.58099914666825,3.90766966524998,16.64,1.30617371168413,693.9,663.89,79.573475508164,660.17,693.9,658,88.3565459610029,666.44,693.9,658,70.8913649025068,TRUE,11.9,0.934102594293338,FALSE,FALSE,FALSE,FALSE,11,4,1,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,21.02,12.7836842105263,2113805,12.7836842105263,74.5004757373929,19.6003805899144,80.3996194100856,94.1008563273073,5.89914367269272,TRUE,12.9599999999999,22.52,1.93228071744866,3.40618619072828,2.3504049583065,2.67319446738852,2.0448676806424,1.19944556520785,87.3281308063918,64.0282422891116,50.9104422147898,TRUE,FALSE
"22","12-11-30",691.31,699.22,685.69,698.37,3163600,698.37,699.22,636,"Nov","4Q","2012","Fri",691.89,TRUE,FALSE,FALSE,TRUE,693.9,TRUE,682,FALSE,FALSE,TRUE,687.78,TRUE,FALSE,FALSE,FALSE,13.53,12.7771428571428,2191645.45454545,12.807,52.1803399852186,41.537324464153,58.462675535847,93.7176644493716,6.28233555062842,52.1803399852186,FALSE,6.48000000000002,14.7,0.93656506092008,2.1501601649919,4.12398801270295,5.62958481433866,4.55110259442788,15.4833333333333,1.20897425886885,699.22,682,61.4982578397213,668.01,699.22,663.89,85.9326351542598,660.17,699.22,658,92.6734594856866,TRUE,13.53,1.0564535019911,FALSE,FALSE,FALSE,FALSE,11,4,1,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,11.9,12.7395,2145361.9047619,12.7395,34.5378151260506,48.5714285714284,51.4285714285716,83.109243697479,16.890756302521,FALSE,8.22000000000003,21.1799999999999,1.20233445960771,3.15784765397862,4.6494744006655,3.58099914666825,3.90766966524998,1.30617371168413,79.573475508164,88.3565459610029,70.8913649025068,FALSE,FALSE
"23","12-12-03",702.24,705.89,694.11,695.25,2192500,695.25,705.89,636,"Dec","4Q","2012","Mon",698.37,FALSE,TRUE,TRUE,FALSE,699.22,TRUE,685.69,FALSE,FALSE,TRUE,691.31,TRUE,FALSE,TRUE,FALSE,11.78,12.7318181818182,2191682.60869565,12.987,-59.3378607809849,69.0152801358236,30.9847198641764,9.67741935483862,90.3225806451614,59.3378607809849,FALSE,-3.12,3.36000000000001,-0.446754585678077,0.485626327884492,1.69379964017728,3.65880932146532,5.15767980034789,12.4033333333333,0.955057621724287,705.89,685.69,19.5049504950498,687.78,705.89,682,31.2683131017163,668.01,705.89,663.89,64.8571428571429,FALSE,11.78,0.907060907060905,FALSE,FALSE,TRUE,FALSE,11,4,1,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,13.53,12.7771428571428,2191645.45454545,12.807,52.1803399852186,41.537324464153,58.462675535847,93.7176644493716,6.28233555062842,FALSE,6.48000000000002,14.7,0.93656506092008,2.1501601649919,4.12398801270295,5.62958481433866,4.55110259442788,1.20897425886885,61.4982578397213,85.9326351542598,92.6734594856866,FALSE,FALSE
"24","12-12-04",695,695.51,685.7,691.03,1991700,691.03,705.89,636,"Dec","4Q","2012","Tue",695.25,FALSE,TRUE,FALSE,TRUE,705.89,FALSE,694.11,TRUE,TRUE,FALSE,702.24,FALSE,TRUE,FALSE,FALSE,9.80999999999995,12.6047826086956,2183350,12.887,-40.4689092762492,94.8012232415903,5.19877675840972,54.3323139653411,45.6676860346589,40.4689092762492,FALSE,-4.22000000000003,-7.34000000000003,-0.606975907946783,-1.05101880092215,-0.124297214875202,1.07654277648572,3.02962532241953,11.7066666666666,0.908408990972813,705.89,685.7,-55.5225359088661,691.31,705.89,685.69,-1.38613861386126,687.78,705.89,682,13.604018417748,FALSE,9.80999999999995,0.76123224955381,FALSE,FALSE,TRUE,FALSE,12,4,1,2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,11.78,12.7318181818182,2191682.60869565,12.987,-59.3378607809849,69.0152801358236,30.9847198641764,9.67741935483862,90.3225806451614,FALSE,-3.12,3.36000000000001,-0.446754585678077,0.485626327884492,1.69379964017728,3.65880932146532,5.15767980034789,0.955057621724287,19.5049504950498,31.2683131017163,64.8571428571429,FALSE,FALSE
"25","12-12-05",692.15,694.5,682.33,687.82,1862400,687.82,705.89,636,"Dec","4Q","2012","Wed",691.03,FALSE,TRUE,TRUE,FALSE,695.51,FALSE,685.7,TRUE,TRUE,FALSE,695,FALSE,TRUE,FALSE,FALSE,12.17,12.5866666666667,2170512,13.048,-35.5792933442888,80.6902218570252,19.3097781429748,45.1109285127365,54.8890714872635,35.5792933442888,FALSE,-3.20999999999992,-7.42999999999995,-0.464523971462882,-1.06868033081624,-1.51066053811016,-0.588243795979115,0.607018005763038,11.2533333333333,0.862456570611075,695.51,682.33,-54.4764795144156,702.24,705.89,682.33,-61.2054329371816,691.31,705.89,682.33,-14.8132427843799,FALSE,12.17,0.93270999386879,FALSE,FALSE,TRUE,FALSE,12,4,1,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,9.80999999999995,12.6047826086956,2183350,12.887,-40.4689092762492,94.8012232415903,5.19877675840972,54.3323139653411,45.6676860346589,FALSE,-4.22000000000003,-7.34000000000003,-0.606975907946783,-1.05101880092215,-0.124297214875202,1.07654277648572,3.02962532241953,0.908408990972813,-55.5225359088661,-1.38613861386126,13.604018417748,FALSE,FALSE
"26","12-12-06",687.59,695.61,684.51,691.13,1462300,691.13,705.89,636,"Dec","4Q","2012","Thu",687.82,TRUE,FALSE,FALSE,TRUE,694.5,TRUE,682.33,FALSE,FALSE,TRUE,692.15,FALSE,TRUE,FALSE,FALSE,11.1,12.5272,2143273.07692308,13.016,31.8918918918915,27.7477477477481,72.2522522522519,59.6396396396396,40.3603603603604,31.8918918918915,FALSE,3.30999999999995,0.100000000000023,0.48123055450553,0.0144711517589657,-0.592592592592589,-1.03669974368887,-0.109844050354824,11.0266666666666,0.847162466707641,695.61,682.33,-7.68072289156615,695,695.61,682.33,-29.1415662650603,702.24,705.89,682.33,-47.156196943973,TRUE,11.1,0.852796558082363,FALSE,FALSE,FALSE,FALSE,12,4,1,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,12.17,12.5866666666667,2170512,13.048,-35.5792933442888,80.6902218570252,19.3097781429748,45.1109285127365,54.8890714872635,FALSE,-3.20999999999992,-7.42999999999995,-0.464523971462882,-1.06868033081624,-1.51066053811016,-0.588243795979115,0.607018005763038,0.862456570611075,-54.4764795144156,-61.2054329371816,-14.8132427843799,FALSE,FALSE
"27","12-12-07",695,696.88,682.42,684.21,1919300,684.21,705.89,636,"Dec","4Q","2012","Fri",691.13,FALSE,TRUE,TRUE,FALSE,695.61,TRUE,684.51,TRUE,FALSE,FALSE,687.59,TRUE,FALSE,FALSE,FALSE,14.46,12.6015384615385,2134977.77777778,12.726,-74.6196403872748,86.9986168741356,13.0013831258644,12.3789764868608,87.6210235131392,74.6196403872748,TRUE,-6.91999999999996,-3.61000000000001,-1.00125880803901,-0.52484661684743,-0.986932549961639,-1.58791801510247,-2.02757850423128,12.5766666666667,0.98826549321599,696.88,682.42,-23.3748271092669,692.15,696.88,682.33,-54.570446735395,695,696.88,682.33,-74.1580756013745,FALSE,14.46,1.13625648279114,FALSE,FALSE,TRUE,FALSE,12,4,1,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,11.1,12.5272,2143273.07692308,13.016,31.8918918918915,27.7477477477481,72.2522522522519,59.6396396396396,40.3603603603604,FALSE,3.30999999999995,0.100000000000023,0.48123055450553,0.0144711517589657,-0.592592592592589,-1.03669974368887,-0.109844050354824,0.847162466707641,-7.68072289156615,-29.1415662650603,-47.156196943973,FALSE,FALSE
"28","12-12-10",685.39,691.65,683.79,685.42,1366700,685.42,705.89,636,"Dec","4Q","2012","Mon",684.21,TRUE,FALSE,TRUE,FALSE,696.88,FALSE,682.42,FALSE,TRUE,TRUE,695,FALSE,TRUE,FALSE,FALSE,7.86000000000001,12.4259259259259,2107539.28571429,12.217,0.38167938931263,20.3562340966924,79.6437659033076,20.737913486005,79.262086513995,0.38167938931263,FALSE,1.20999999999992,-5.71000000000004,0.176846289881749,-0.826183207211384,-0.348928498735146,-0.811831613678138,-1.41387989931679,11.14,0.911844151592047,696.88,682.42,-66.2517289073307,687.59,696.88,682.42,-15.0069156293227,692.15,696.88,682.33,-46.2542955326463,TRUE,7.86000000000001,0.643365801751659,FALSE,FALSE,FALSE,FALSE,12,4,1,6,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,14.46,12.6015384615385,2134977.77777778,12.726,-74.6196403872748,86.9986168741356,13.0013831258644,12.3789764868608,87.6210235131392,TRUE,-6.91999999999996,-3.61000000000001,-1.00125880803901,-0.52484661684743,-0.986932549961639,-1.58791801510247,-2.02757850423128,0.98826549321599,-23.3748271092669,-54.570446735395,-74.1580756013745,FALSE,FALSE
"29","12-12-11",690,701.92,687.72,696.88,2687600,696.88,705.89,636,"Dec","4Q","2012","Tue",685.42,TRUE,FALSE,TRUE,FALSE,691.65,TRUE,683.79,FALSE,FALSE,TRUE,685.39,TRUE,FALSE,FALSE,FALSE,14.1999999999999,12.4892857142857,2127541.37931034,12.4805,48.4507042253523,16.0563380281689,83.9436619718311,64.5070422535212,35.4929577464788,48.4507042253523,FALSE,11.46,12.67,1.67196755274139,1.85177065520818,0.831970830379225,1.31720508272513,0.846562377899662,12.1733333333333,0.975388272371567,701.92,683.79,63.3756205184777,695,701.92,682.42,9.64102564102561,687.59,701.92,682.42,47.6410256410255,TRUE,14.1999999999999,1.13777492888906,FALSE,FALSE,FALSE,FALSE,12,4,1,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,7.86000000000001,12.4259259259259,2107539.28571429,12.217,0.38167938931263,20.3562340966924,79.6437659033076,20.737913486005,79.262086513995,FALSE,1.20999999999992,-5.71000000000004,0.176846289881749,-0.826183207211384,-0.348928498735146,-0.811831613678138,-1.41387989931679,0.911844151592047,-66.2517289073307,-15.0069156293227,-46.2542955326463,FALSE,FALSE
"30","12-12-12",699.23,703.51,693.48,697.56,2426000,697.56,705.89,636,"Dec","4Q","2012","Wed",696.88,TRUE,FALSE,TRUE,FALSE,701.92,TRUE,687.72,FALSE,FALSE,TRUE,690,TRUE,FALSE,FALSE,FALSE,10.03,12.4044827586207,2137490,12.5135,-16.6500498504494,57.3280159521437,42.6719840478563,40.6779661016943,59.3220338983057,16.6500498504494,FALSE,0.67999999999995,12.14,0.0975777752267204,1.7711767967086,1.95115534704255,0.930360424232779,1.41606815736675,10.6966666666666,0.854810138383878,703.51,687.72,47.878404053198,685.39,703.51,683.79,61.7139959432046,695,703.51,682.42,12.1384542437171,TRUE,10.03,0.801534342909657,FALSE,FALSE,FALSE,FALSE,12,4,1,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,14.1999999999999,12.4892857142857,2127541.37931034,12.4805,48.4507042253523,16.0563380281689,83.9436619718311,64.5070422535212,35.4929577464788,FALSE,11.46,12.67,1.67196755274139,1.85177065520818,0.831970830379225,1.31720508272513,0.846562377899662,0.975388272371567,63.3756205184777,9.64102564102561,47.6410256410255,FALSE,FALSE
"31","12-12-13",715.92,716.47,699.55,702.7,3444900,702.7,716.47,636,"Dec","4Q","2012","Thu",697.56,TRUE,FALSE,TRUE,FALSE,703.51,TRUE,693.48,FALSE,FALSE,TRUE,699.23,TRUE,FALSE,TRUE,FALSE,16.9200000000001,12.555,2179664.51612903,12.7755,-78.1323877068549,96.7494089834511,3.25059101654885,18.6170212765962,81.3829787234038,78.1323877068549,TRUE,5.1400000000001,5.82000000000005,0.736854177418445,0.835150958558151,2.52108196434304,2.70238669414362,1.67407000130222,13.7166666666667,1.07366965415574,716.47,693.48,15.0935189212702,690,716.47,687.72,44.1739130434784,685.39,716.47,683.79,52.96817625459,TRUE,16.9200000000001,1.32441000352237,FALSE,FALSE,FALSE,FALSE,12,4,1,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,10.03,12.4044827586207,2137490,12.5135,-16.6500498504494,57.3280159521437,42.6719840478563,40.6779661016943,59.3220338983057,FALSE,0.67999999999995,12.14,0.0975777752267204,1.7711767967086,1.95115534704255,0.930360424232779,1.41606815736675,0.854810138383878,47.878404053198,61.7139959432046,12.1384542437171,FALSE,FALSE
